iter	Passed	Remaining
0	294	294268
1	434	216691
2	597	198659
3	791	197105
4	931	185408
5	1088	180283
6	1247	176990
7	1445	179199
8	1597	175880
9	1724	170773
10	1832	164789
11	1943	160029
12	2054	155974
13	2163	152398
14	2266	148827
15	2379	146325
16	2486	143804
17	2604	142095
18	2719	140396
19	2837	139056
20	2951	137606
21	3061	136077
22	3151	133888
23	3281	133466
24	3393	132350
25	3482	130451
26	3587	129288
27	3757	130438
28	3926	131480
29	4086	132128
30	4219	131886
31	4421	133737
32	4603	134883
33	4776	135717
34	4960	136761
35	5108	136799
36	5248	136590
37	5365	135842
38	5494	135394
39	5633	135206
40	5757	134679
41	5919	135025
42	6099	135748
43	6239	135561
44	6428	136429
45	6594	136770
46	6754	136957
47	7114	141107
48	7378	143201
49	7551	143483
50	7715	143575
51	7874	143559
52	8039	143640
53	8205	143753
54	8392	144201
55	8566	144404
56	8764	144995
57	8922	144911
58	9115	145377
59	9329	146165
60	9488	146066
61	9618	145520
62	9739	144848
63	9854	144115
64	10021	144160
65	10150	143651
66	10343	144031
67	10495	143853
68	10657	143792
69	10854	144208
70	10985	143737
71	11097	143034
72	11227	142579
73	11381	142427
74	11545	142394
75	11662	141793
76	11773	141127
77	11880	140437
78	11983	139710
79	12077	138895
80	12165	138026
81	12263	137290
82	12385	136833
83	12505	136374
84	12618	135830
85	12729	135285
86	12809	134427
87	12898	133676
88	13001	133081
89	13104	132498
90	13236	132215
91	13370	131963
92	13495	131617
93	13634	131410
94	13755	131035
95	13890	130798
96	13995	130286
97	14113	129898
98	14262	129805
99	14379	129414
100	14501	129073
101	14594	128488
102	14695	127980
103	14801	127523
104	14889	126917
105	14987	126403
106	15069	125768
107	15166	125267
108	15376	125690
109	15478	125237
110	15589	124852
111	15688	124387
112	15781	123875
113	15869	123333
114	15968	122885
115	16068	122449
116	16148	121871
117	16251	121475
118	16356	121094
119	16456	120678
120	16557	120280
121	16659	119895
122	16767	119551
123	16903	119412
124	17007	119049
125	17112	118702
126	17226	118414
127	17357	118246
128	17492	118106
129	17593	117740
130	17700	117415
131	17798	117041
132	17895	116656
133	17994	116293
134	18096	115952
135	18190	115561
136	18285	115187
137	18403	114958
138	18502	114607
139	18591	114203
140	18710	113985
141	18812	113672
142	18934	113476
143	19056	113280
144	19166	113019
145	19304	112918
146	19443	112823
147	19543	112507
148	19644	112194
149	19777	112070
150	19904	111913
151	20022	111704
152	20159	111603
153	20274	111377
154	20392	111169
155	20498	110903
156	20607	110650
157	20710	110366
158	20800	110018
159	20900	109726
160	21004	109459
161	21097	109135
162	21198	108853
163	21301	108584
164	21408	108337
165	21500	108018
166	21599	107737
167	21706	107496
168	21812	107255
169	21908	106963
170	22021	106757
171	22121	106491
172	22252	106376
173	22358	106136
174	22472	105940
